Trt,Hood,GroundSpi,OrbShtSpi,PreyAbund,PreyBreadth,SoilClay ,SoilSand ,SoilPollution,VegBiomass,LSdiv200,Isol200
1V,buckeye,67,26,3533,0.216318362,6.6,73.5,1.5698865,52.77875,1.7165,1.3458
1V,central,96,51,2438,0.274539411,4.7,70.5,1.626004301,74.544,1.669,3.0684
1V,clarkF,63,135,2486,0.196475707,4,76.9,1.499902906,36.98075,1.6908,1.6051
1V,detroit,48,58,4526,0.121277848,9.1,45,1.99910479,68.9525,1.6517,1.7909
1V,fairfax,29,18,4261,0.131196068,9.6,63.8,1.424166687,82.9365,1.7326,1.9179
1V,glenville,29,41,4195,0.164879972,6.6,74,1.368826962,62.961,1.6862,1.3848
1V,hough,70,34,3800,0.2177056,6.8,71.8,1.553416822,52.313,1.7119,2.1703
1V,slavic,157,41,4123,0.174811834,8.6,66.2,1.50120706,55.7665,1.7441,2.1619
8H,buckeye,48,10,2237,0.165789944,5.9,69.7,1.455805415,112.85825,1.7188,1.8424
8H,central,35,29,3572,0.166390049,18.4,50.6,1.455462528,193.719,1.6113,1.2161
8H,clarkF,62,41,3729,0.23196768,11.4,56.8,1.35034121,195.3485,1.6654,2.1089
8H,detroit,133,47,6263,0.111391892,11.5,61.1,2.170246598,295.534,1.7591,1.2775
8H,fairfax,43,32,2677,0.236884134,12.3,51.2,1.808692321,97.17525,1.7031,2.2453
8H,glenville,44,12,3887,0.096689275,8.3,69.1,1.412199361,161.352,1.7215,1.508
8H,slavic,94,32,3333,0.244883828,7.8,55.2,1.925274731,147.425,1.7391,1.5225
